Time::Relative Time!!R,Markers::Markers,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R
Ms,,,,,,,,,
14580.8673,,53883.96,751.6667921,0,0,26553.28,893.1496945,0,0
14590.8747,,53883.96,762.7454523,0,0,26553.28,906.078666,0,0
14600.8822,,53883.96,770.0343746,0,0,26553.28,920.0822301,0,0
14610.8896,,53883.96,778.6262702,0,0,26553.28,930.3553971,0,0
14620.8971,,53883.96,785.3210388,0,0,26553.28,942.7046843,0,0
14630.9046,,53883.96,792.1849203,0,0,26553.28,952.2629837,0,0
14640.912,,53883.96,796.6300339,0,0,26553.28,959.6937373,0,0
14650.9195,,53883.96,803.4068498,0,0,26553.28,966.9742872,0,0
14660.9269,,53883.96,806.2539205,0,0,26553.28,971.3505601,0,0
14670.9344,,53883.96,811.2687241,0,0,26553.28,979.4271894,0,0
14680.9418,,53883.96,812.8839543,0,0,26553.28,981.151222,0,0
14690.9493,,53883.96,817.556141,0,0,26553.28,987.3383401,0,0
14700.9568,,53883.96,817.3707189,0,0,26553.28,987.9778513,0,0
14710.9642,,53883.96,821.4250408,0,0,26553.28,992.6690428,0,0
14720.9717,,53883.96,820.2670932,0,0,26553.28,991.1229633,0,0
14730.9791,,53883.96,823.8971271,0,0,26553.28,995.2107943,0,0
14740.9866,,53883.96,822.1457784,0,0,26553.28,993.180499,0,0
14750.9941,,53883.96,824.968009,0,0,26553.28,996.5173116,0,0
14761.0015,,53883.96,821.4078535,0,0,26553.28,992.4282077,0,0
14771.009,,53883.96,824.3975662,0,0,26553.28,993.1748982,0,0
14781.0164,,53883.96,820.3057333,0,0,26553.28,989.5903768,0,0
14791.0239,,53883.96,822.5067118,0,0,26553.28,990.0073829,0,0
14801.0313,,53883.96,817.0213273,0,0,26553.28,983.5320774,0,0
14811.0388,,53883.96,819.0845565,0,0,26553.28,985.0229124,0,0
14821.0463,,53883.96,814.7694141,0,0,26553.28,976.9595214,0,0
14831.0537,,53883.96,814.2709823,0,0,26553.28,978.0022912,0,0
14841.0612,,53883.96,809.1481621,0,0,26553.28,969.2431263,0,0
14851.0686,,53883.96,808.5162464,0,0,26553.28,967.9913442,0,0
14861.0761,,53883.96,802.3077406,0,0,26553.28,957.064664,0,0
14871.0836,,53883.96,801.2142768,0,0,26553.28,956.7219959,0,0
14881.091,,53883.96,795.3254297,0,0,26553.28,946.3788187,0,0
14891.0985,,53883.96,794.1046293,0,0,26553.28,944.5949593,0,0
14901.1059,,53883.96,787.6285284,0,0,26553.28,934.339613,0,0
14911.1134,,53883.96,785.1982185,0,0,26553.28,931.467668,0,0
14921.1209,,53883.96,777.9967382,0,0,26553.28,920.3783096,0,0
14931.1283,,53883.96,775.804416,0,0,26553.28,917.5549898,0,0
14941.1358,,53883.96,768.8878434,0,0,26553.28,906.7645112,0,0
14951.1432,,53883.96,766.2835278,0,0,26553.28,902.871945,0,0
14961.1507,,53883.96,759.174884,0,0,26553.28,892.1563136,0,0
14971.1581,,53883.96,756.2266968,0,0,26553.28,888.1746436,0,0
14981.1656,,53883.96,750.1250784,0,0,26553.28,878.3228106,0,0
14991.1731,,53883.96,745.8323924,0,0,26553.28,874.9376273,0,0
15001.1805,,53883.96,740.2313386,0,0,26553.28,863.8118635,0,0
15011.188,,53883.96,736.6133484,0,0,26553.28,859.0048371,0,0
15021.1954,,53883.96,730.2023585,0,0,26553.28,849.6738798,0,0
15031.2029,,53883.96,725.7662778,0,0,26553.28,844.9050407,0,0
15041.2104,,53883.96,720.5044536,0,0,26553.28,835.482943,0,0
