Time::Relative Time!!R,Markers::Markers,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R
Ms,,,,,,,,,,,,,,,,,
13760.2556,,26620.88,1136.026917,0,0,26614.12,1189.82474,0,0,26769.6,1324.137121,0,0,26843.96,1077.652229,0,0
13770.2631,,26620.88,1128.052311,0,0,26614.12,1180.820676,0,0,26769.6,1311.089899,0,0,26843.96,1071.22765,0,0
13780.2706,,26620.88,1118.432199,0,0,26614.12,1170.364745,0,0,26769.6,1301.224495,0,0,26843.96,1060.450768,0,0
13790.278,,26620.88,1110.366176,0,0,26614.12,1160.762002,0,0,26769.6,1287.258333,0,0,26843.96,1054.845631,0,0
13800.2855,,26620.88,1099.945658,0,0,26614.12,1148.511049,0,0,26769.6,1276.655303,0,0,26843.96,1045.62075,0,0
13810.2929,,26620.88,1092.111224,0,0,26614.12,1141.851918,0,0,26769.6,1263.84798,0,0,26843.96,1040.125409,0,0
13820.3004,,26620.88,1081.959878,0,0,26614.12,1130.947422,0,0,26769.6,1255.047222,0,0,26843.96,1032.084865,0,0
13830.3079,,26620.88,1073.860589,0,0,26614.12,1123.302769,0,0,26769.6,1243.790152,0,0,26843.96,1026.297154,0,0
13840.3153,,26620.88,1066.922803,0,0,26614.12,1111.846584,0,0,26769.6,1233.965404,0,0,26843.96,1019.805087,0,0
13850.3228,,26620.88,1060.019045,0,0,26614.12,1105.997968,0,0,26769.6,1222.902525,0,0,26843.96,1015.399396,0,0
13860.3302,,26620.88,1051.811326,0,0,26614.12,1096.730251,0,0,26769.6,1213.035859,0,0,26843.96,1007.106522,0,0
13870.3377,,26620.88,1045.646267,0,0,26614.12,1089.129286,0,0,26769.6,1205.810606,0,0,26843.96,1003.013599,0,0
